method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,trust_gate_rejection_rate
target_only,5,uniform,98,98,0.7458305837367238,9.921988531203663,0.6040037938814988,0.037578999625556886,0.08163265306122448
hb_tpm_latent_mse,7,clustered,98,490,0.7575589756469853,9.275490707437948,0.5539589413086442,0.03675934866222795,0.0
oa_hb_tpm_isotropic_prior,7,clustered,98,490,0.7500485893780544,9.877186167183071,0.6042297100903637,0.03801491689317076,1.0
oa_hb_tpm_map,7,clustered,98,490,0.7500740891797811,9.875489527161502,0.6041119917033569,0.038008353518968294,1.0
oa_hb_tpm_no_phase_alignment,7,clustered,98,490,0.7500773442510172,9.875641210229654,0.6041305718968998,0.03800919610740878,1.0
source_mean,7,clustered,98,490,0.7520968130749952,9.754343624612812,0.5905146420207118,0.03721352211408769,0.39387755102040817
target_only,7,clustered,98,490,0.7492683697266508,9.876316417069946,0.6093447610235536,0.03778301092168805,1.0
hb_tpm_latent_mse,7,random,98,490,0.7540931899906548,9.21534909885264,0.5455808860750856,0.036507491242824715,0.02040816326530612
oa_hb_tpm_isotropic_prior,7,random,98,490,0.7464298044511183,9.924708075211694,0.6031566445579638,0.03790411126742858,0.9408163265306122
oa_hb_tpm_map,7,random,98,490,0.7464223235743804,9.924165124524645,0.6031847729900743,0.03790527353139247,0.9408163265306122
oa_hb_tpm_no_phase_alignment,7,random,98,490,0.7464275887937624,9.92387818721231,0.6031620686578402,0.037904760429673605,0.9428571428571428
source_mean,7,random,98,490,0.7486216372481291,9.776673357112893,0.5905146747014723,0.03705799209562183,0.33877551020408164
target_only,7,random,98,490,0.745413487581635,9.938781672898122,0.607548833928124,0.03774358478887952,0.926530612244898
hb_tpm_latent_mse,7,uniform,98,98,0.7530929900819757,9.213684253645436,0.5421591453665859,0.03645596406137452,0.11224489795918367
oa_hb_tpm_isotropic_prior,7,uniform,98,98,0.7463035870694995,9.906442477407378,0.6030415314002876,0.03772197471817532,0.061224489795918366
oa_hb_tpm_map,7,uniform,98,98,0.7462912412030284,9.906493670988421,0.6031590892441143,0.0377270795252858,0.030612244897959183
oa_hb_tpm_no_phase_alignment,7,uniform,98,98,0.7462921254308016,9.906494794357274,0.60313103776479,0.03772636554298955,0.04081632653061224
source_mean,7,uniform,98,98,0.7482987615106861,9.762601334728089,0.5905146955648489,0.03689160034516632,0.08163265306122448
target_only,7,uniform,98,98,0.7453269326051501,9.92045375966589,0.6075011905735994,0.03756370523716413,0.14285714285714285
hb_tpm_latent_mse,10,clustered,98,490,0.7592732446840198,9.372345819218195,0.5600405790010129,0.037025248631834935,0.0020408163265306124
oa_hb_tpm_isotropic_prior,10,clustered,98,490,0.7526580296896612,9.879152075121937,0.6046028393350981,0.038117256893643266,0.6040816326530613
