record_id,method_id,seed,n_photons,success,failure_reason,runtime_s,truth_d_start_um2_s,truth_d_end_um2_s,estimate_d_start_um2_s,estimate_d_end_um2_s,log_endpoint_squared_error,curve_relative_rmse,endpoint_coverage,prior_used,simulation_truth_used_by_estimator
target_042,target_only_event_qmle,446690999,548,True,,0.24018153490033,38.19289744446863,93.86889012216719,138.1695564485269,54.55489407563844,0.9739390938074579,1.0848380742809072,0.5,False,False
target_042,oa_hb_tpm_map,446690999,548,True,,0.1975402800599113,38.19289744446863,93.86889012216719,80.03273903039417,79.98510714410872,0.28645119888914855,0.5240057583348013,0.5,True,False
target_043,target_only_event_qmle,262082880,441,True,,0.18582907994277775,45.18439148807354,92.44359969130957,18.19131460330223,118.73011410781587,0.44518838713476383,0.34846742254914825,1.0,False,False
target_043,oa_hb_tpm_map,262082880,441,True,,0.16792825795710087,45.18439148807354,92.44359969130957,40.00161480389957,85.79738016512039,0.010204848802628456,0.09428789559135269,1.0,True,False
target_044,target_only_event_qmle,394335233,539,True,,0.21565464092418551,55.133249520574246,118.86484401408433,88.6192023294902,62.792782343242635,0.3162362504841978,0.31145675371825804,1.0,False,False
target_044,oa_hb_tpm_map,394335233,539,True,,0.17388070991728455,55.133249520574246,118.86484401408433,69.37972965626695,81.78319691935594,0.09631993715581719,0.17396976459038452,1.0,True,False
target_045,target_only_event_qmle,1403402409,352,True,,0.2054290979867801,34.07412695645816,98.09457744743962,43.31193404951916,153.1934767086116,0.12812883336426462,0.41998536948570325,1.0,False,False
target_045,oa_hb_tpm_map,1403402409,352,True,,0.1431666170246899,34.07412695645816,98.09457744743962,61.79534123242236,103.37538213802709,0.17855956850651059,0.4561622744966219,1.0,True,False
target_046,target_only_event_qmle,1084419632,422,True,,0.19677494606003165,38.4503772785807,74.73628465380655,15.133124312747489,60.86915541806662,0.4558233632737742,0.43834563525365056,1.0,False,False
target_046,oa_hb_tpm_map,1084419632,422,True,,0.2678394520189613,38.4503772785807,74.73628465380655,34.754346317316745,63.36437566671961,0.01872999961305911,0.1254972657059362,1.0,True,False
target_047,target_only_event_qmle,1750622705,519,True,,0.1893364320276305,35.317665169886155,97.4900586045611,12.253510144101838,166.9449537729396,0.7049616918191364,0.41421952717487776,0.5,False,False
target_047,oa_hb_tpm_map,1750622705,519,True,,0.18983560998458415,35.317665169886155,97.4900586045611,34.33608600009664,91.49695640008514,0.0024098515692147168,0.04578668151763919,1.0,True,False
target_048,target_only_event_qmle,1277239786,422,True,,0.17962522699963301,45.550291721148355,95.91305856141065,25.34114514210844,61.013225386932305,0.2742361813797142,0.40531614503352464,1.0,False,False
target_048,oa_hb_tpm_map,1277239786,422,True,,0.16266242903657258,45.550291721148355,95.91305856141065,38.87225473603184,75.85394983551292,0.04009304843634929,0.1791883085964681,1.0,True,False
target_049,target_only_event_qmle,864909348,491,True,,0.2011316689895466,43.167883718995235,91.80970126217149,34.174556894527,47.299044821277,0.24722367358933522,0.3652815816485655,1.0,False,False
target_049,oa_hb_tpm_map,864909348,491,True,,0.18180242006201297,43.167883718995235,91.80970126217149,41.75485076058987,64.92666277046844,0.060570945725240306,0.18552568414928935,1.0,True,False
target_050,target_only_event_qmle,1678122114,438,True,,0.16668539796955884,40.20225659040878,72.90932003994598,47.81226736047247,59.85767967238178,0.03447982981250054,0.10691080190370084,1.0,False,False
target_050,oa_hb_tpm_map,1678122114,438,True,,0.16703279595822096,40.20225659040878,72.90932003994598,53.18805703437824,75.32936122842375,0.0397081399854932,0.1915827268095347,1.0,True,False
target_051,target_only_event_qmle,1616459671,472,False,d_search_boundary,0.23357174603734165,51.605123001044184,112.42739227711131,29.052648991762076,220.00000000000009,0.3903668353547069,0.4169910257841769,1.0,False,False
target_051,oa_hb_tpm_map,1616459671,472,True,,0.17678806593175977,51.605123001044184,112.42739227711131,51.57335495265115,114.47733510412439,0.00016343841244814114,0.010343454023517117,1.0,True,False
target_052,target_only_event_qmle,272617900,577,True,,0.22747671697288752,41.85699960578617,78.8295161211008,34.697413441538444,70.81511520206523,0.023343265572293652,0.13829301459305998,1.0,False,False
target_052,oa_hb_tpm_map,272617900,577,True,,0.20615033502690494,41.85699960578617,78.8295161211008,42.49885923837703,75.03886970887,0.0013301177867892622,0.024857883704790522,1.0,True,False
target_053,target_only_event_qmle,166597177,415,True,,0.178032944095321,44.21531949341936,87.50479604139954,11.26647860652274,112.07083394482369,0.9652845894102768,0.4664464812469299,0.5,False,False
target_053,oa_hb_tpm_map,166597177,415,True,,0.19592956197448075,44.21531949341936,87.50479604139954,36.87232312459475,78.73732256871938,0.022064295051823057,0.1349097569037044,1.0,True,False
target_054,target_only_event_qmle,549585765,541,True,,0.23719534405972809,31.80433061537877,69.31683939992804,42.33310826576774,43.36466000032252,0.1508892570378992,0.21398467514138175,1.0,False,False
target_054,oa_hb_tpm_map,549585765,541,True,,0.3224193500354886,31.80433061537877,69.31683939992804,47.92986088645903,61.946642314616945,0.09042437641561216,0.2485250220851767,1.0,True,False
target_055,target_only_event_qmle,1039605638,536,True,,0.2777703730389476,47.76624741772438,75.62016077105163,178.94474459084717,36.31726502862437,1.141160127238383,1.0925772482273803,0.5,False,False
target_055,oa_hb_tpm_map,1039605638,536,True,,0.19423755793832242,47.76624741772438,75.62016077105163,82.2593522496274,74.43253778438685,0.14785284179919103,0.3840016266059282,1.0,True,False
target_056,target_only_event_qmle,324250868,500,True,,0.18409504496958107,32.31228819275421,77.96660682588987,31.705889468405797,28.648296058544553,0.5013668137568307,0.41443256383561755,0.5,False,False
target_056,oa_hb_tpm_map,324250868,500,True,,0.18431752501055598,32.31228819275421,77.96660682588987,43.35928381830703,53.877021032647086,0.1115329514978079,0.18913003173027063,1.0,True,False
target_057,target_only_event_qmle,280441842,500,True,,0.20389626605901867,53.77598594655873,93.85472377609003,28.208602207174682,48.30154881426326,0.42877847028125804,0.4804246841802056,1.0,False,False
