contrast,candidate_method,reference_method,scope,level,metric,n_paired_patients,candidate_mean,reference_mean,mean_paired_difference,relative_change_percent,bootstrap_95_lower,bootstrap_95_upper,interval_interpretation,difference_definition,bootstrap_unit
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_clustered,hidden_brier,98,0.03800835351896829,0.03778301092168806,0.00022534259728023532,0.5964124927663852,2.621818067772604e-05,0.00042838317275580094,harmful,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_random,mean_hidden_dice,98,0.7464223235743803,0.7454134875816351,0.0010088359927454816,0.1353391117215326,-0.00027208167857898096,0.0022692252669747003,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_random,mean_hidden_hd95_px,98,9.924165124524643,9.938781672898122,-0.014616548373476567,-0.14706579593486957,-0.07264341882008732,0.04611066637848162,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_random,area_curve_relative_rmse,98,0.6031847729900743,0.607548833928124,-0.004364060938049676,-0.718306199327833,-0.007036318936305888,-0.00150214676740618,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_random,hidden_brier,98,0.03790527353139248,0.03774358478887952,0.00016168874251295146,0.42838734957838503,-1.6181549218919644e-05,0.000347857824099079,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_uniform,mean_hidden_dice,98,0.7462912412030284,0.7453269326051499,0.000964308597878291,0.12938061885241847,-0.000310324528119984,0.002308615201429804,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_uniform,mean_hidden_hd95_px,98,9.906493670988423,9.92045375966589,-0.01396008867746674,-0.14072026356521117,-0.07640024895576898,0.049420842668285836,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_uniform,area_curve_relative_rmse,98,0.6031590892441143,0.6075011905735994,-0.004342101329484965,-0.7147477892817256,-0.00706964803067871,-0.0014437747728237968,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_uniform,hidden_brier,98,0.0377270795252858,0.03756370523716413,0.00016337428812166255,0.4349259134320598,-2.228228270779059e-05,0.0003518828086327,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k10_clustered,mean_hidden_dice,98,0.7526734086456826,0.751357837950536,0.001315570695146488,0.17509242982477488,-0.00012287435574374875,0.0027142921304173966,inconclusive,candidate_minus_reference,patient_stratified_within_fold
