method_id,fold,k,best_epoch,best_validation_patient_mean_dice,n_history_epochs,final_validation_mean_full_cycle_dice,minimum_validation_total,final_validation_total
oa_hb_tpm_no_phase_alignment,3,3,5,0.7280726207062603,18,0.7197286667407551,0.1621005170047283,0.1621005170047283
oa_hb_tpm_no_phase_alignment,3,5,5,0.7278403217089185,18,0.7192772911612438,0.1717180207371711,0.1717180207371711
oa_hb_tpm_no_phase_alignment,3,7,5,0.7279003297496441,18,0.7192950580932315,0.1791210770606994,0.1791210770606994
oa_hb_tpm_no_phase_alignment,4,10,4,0.7432323357546149,17,0.7302048302223696,0.1825321480631828,0.1825321480631828
oa_hb_tpm_no_phase_alignment,4,2,4,0.7438853833226129,17,0.7259541457121415,0.1666761294007301,0.1666761294007301
oa_hb_tpm_no_phase_alignment,4,3,4,0.7435105664175963,17,0.7273882617507353,0.1700811147689819,0.1700811147689819
oa_hb_tpm_no_phase_alignment,4,5,4,0.7431114454413352,17,0.7283889763784475,0.1765466853976249,0.1765466853976249
oa_hb_tpm_no_phase_alignment,4,7,4,0.7431353854071034,17,0.7305251551764045,0.180902050435543,0.180902050435543
source_mean,0,10,10,0.7576362855418586,23,0.7450444592325957,0.0498204967007041,0.0711757109500467
source_mean,0,2,10,0.7575619665360164,23,0.7450040207421897,0.0492676565423607,0.0689551874995231
source_mean,0,3,10,0.7575440619145782,23,0.7450812441349889,0.0510118523612618,0.0665316079277545
source_mean,0,5,10,0.7576124987458097,23,0.745133768818876,0.0503122044727206,0.0679541554767638
source_mean,0,7,10,0.7576424345517683,23,0.7451269162215606,0.0502367915585637,0.06909721926786
source_mean,1,10,13,0.7713089991644025,26,0.7643647907696159,0.0291925463825464,0.0388576364144682
source_mean,1,2,13,0.77107295670879,26,0.7637799497381611,0.0274813706055283,0.0357419371604919
source_mean,1,3,13,0.7710097973177085,26,0.7638867484610794,0.0305272426456213,0.0365509659051895
source_mean,1,5,13,0.7711754017469509,26,0.7639570789720918,0.0305129423737525,0.0381941908970475
source_mean,1,7,13,0.7712768219295804,26,0.7643073417263322,0.0318973343819379,0.0365926150232553
source_mean,2,10,9,0.7635095190534013,22,0.7584597866629014,0.0483393751084804,0.0483393751084804
source_mean,2,2,9,0.7632105942642994,22,0.7583746481056223,0.0471518162637949,0.0471518162637949
source_mean,2,3,9,0.763340067936399,22,0.7583277868136258,0.0483640380203723,0.0483640380203723
source_mean,2,5,9,0.7634669878294268,22,0.758378151112041,0.0485879622399807,0.0485879622399807
source_mean,2,7,9,0.7634910894014503,22,0.7583305726526155,0.0491405442357063,0.0491405442357063
source_mean,3,10,5,0.7293578319621333,18,0.7205769231720788,0.1577359043061733,0.1577359043061733
source_mean,3,2,5,0.7290409567108993,18,0.7203469586908097,0.1589539781212806,0.1589539781212806
source_mean,3,3,5,0.7291185365574504,18,0.720343382534959,0.1581490032374858,0.1581490032374858
source_mean,3,5,5,0.729289998667975,18,0.7204081933457389,0.1579096868634223,0.1579096868634223
source_mean,3,7,5,0.7293321922490289,18,0.7204582790907781,0.1580417938530445,0.1580417938530445
source_mean,4,10,4,0.7449862243964309,17,0.7319762405533891,0.1572736859321594,0.1572736859321594
source_mean,4,2,4,0.744859060642032,17,0.732165349482244,0.1574690409004688,0.1574690409004688
source_mean,4,3,4,0.7449663754151309,17,0.7319363241436504,0.1577755682170391,0.1577755682170391
source_mean,4,5,4,0.745005259371598,17,0.7319297404243308,0.1570851124823093,0.1570851124823093
