method_id,k,strategy,n_patient_observations,n_patients,rejection_rate,trust_score_mean,trust_score_median,threshold_mean,trust_score_q05,trust_score_q25,trust_score_q75,trust_score_q95
oa_hb_tpm_isotropic_prior,10,clustered,490,98,0.6040816326530613,0.00010179547939419949,9.532118565402924e-05,0.000137684524491151,5.228320933383657e-05,7.990930862433743e-05,0.00011202027053512501,0.00017083704806276995
oa_hb_tpm_isotropic_prior,10,random,490,98,0.5163265306122449,7.640983706977026e-05,6.276635758695193e-05,0.000137684524491151,1.8662902857613516e-05,4.247083779773675e-05,9.534288255963473e-05,0.000161852731253005
oa_hb_tpm_isotropic_prior,10,uniform,98,98,0.10204081632653061,8.215872331878491e-05,4.834879291593097e-05,0.000137684524491151,1.361107524644467e-05,3.336171175760683e-05,0.00010379985906179467,0.00023361973944701497
oa_hb_tpm_map,2,clustered,490,98,1.0,1.295016686277236e-05,1.849833279266022e-05,6.690074833641676e-06,3.903014885509038e-07,9.400165765782731e-07,2.11691262848035e-05,2.6619390609994288e-05
oa_hb_tpm_map,2,random,490,98,0.8816326530612245,1.4070595596495292e-05,1.4142462077870732e-05,6.690074833641676e-06,3.242788380930506e-07,8.421261838975624e-07,2.4002573809411842e-05,3.6670476038125334e-05
oa_hb_tpm_map,2,uniform,98,98,0.061224489795918366,6.289370390112597e-06,5.424389655672712e-06,6.690074833641676e-06,3.1843134280507e-07,5.164901182297399e-07,1.0871569656956126e-05,1.5091898512764601e-05
oa_hb_tpm_map,3,clustered,490,98,0.8510204081632653,2.1872167269521015e-05,2.0821763428102713e-05,1.80854286921259e-05,8.464132520202839e-07,1.2440619343578874e-06,3.141606066492386e-05,6.381888342730234e-05
oa_hb_tpm_map,3,random,490,98,0.4816326530612245,1.989892884985326e-05,1.4898006156727206e-05,1.80854286921259e-05,6.911233839446141e-07,1.094153901703976e-06,3.0180434350768337e-05,6.495085472124629e-05
oa_hb_tpm_map,3,uniform,98,98,0.061224489795918366,1.765005010861851e-05,1.4147946330922423e-05,1.80854286921259e-05,8.55385658837804e-07,1.0984997516061412e-06,2.334521241209586e-05,5.111147456773324e-05
oa_hb_tpm_map,5,clustered,490,98,0.9387755102040817,7.377116805342934e-05,9.225995745509863e-05,4.18755867550556e-05,1.4574622991858633e-05,2.390751069469843e-05,0.0001124740647355,0.00012552071420934998
oa_hb_tpm_map,5,random,490,98,0.5510204081632653,4.855775870166114e-05,3.751428084797226e-05,4.18755867550556e-05,1.03876120078894e-06,2.9315269785001874e-06,7.717379776295274e-05,0.00013753512757825494
oa_hb_tpm_map,5,uniform,98,98,0.030612244897959183,4.139789280435888e-05,2.3094844436855055e-05,4.18755867550556e-05,1.1267493903233116e-06,1.5155941923694625e-06,7.743545575067401e-05,0.00010971663068626499
oa_hb_tpm_map,7,clustered,490,98,1.0,8.888582520663431e-05,9.644310921430588e-05,2.8727163295134604e-05,4.3550714690354655e-05,7.039644151518587e-05,0.000104985716461625,0.00011430185732018498
