method_id,k,metric,mean,bootstrap_95_lower,bootstrap_95_upper
oa_hb_tpm_no_phase_alignment,10,mean_hidden_dice,0.7486772698865332,0.7288605626954882,0.7677325602421736
oa_hb_tpm_no_phase_alignment,10,mean_hidden_hd95_px,9.888480515189046,9.061363541404898,10.786971581348904
oa_hb_tpm_no_phase_alignment,10,area_curve_relative_rmse,0.6031565670980357,0.5323262667468084,0.6773630555907831
source_mean,2,mean_hidden_dice,0.7483257904483112,0.7278278525088682,0.7668974128803584
source_mean,2,mean_hidden_hd95_px,9.76885671955211,8.942456127959966,10.663532676922182
source_mean,2,area_curve_relative_rmse,0.5910058025851878,0.5155831965348735,0.6665833008616779
source_mean,3,mean_hidden_dice,0.7489579377244354,0.7296446124575918,0.7680212238996316
source_mean,3,mean_hidden_hd95_px,9.772674041176282,8.923244584227984,10.656002095289887
source_mean,3,area_curve_relative_rmse,0.5911788323503694,0.5154422796633119,0.6694109592128967
source_mean,5,mean_hidden_dice,0.7494864780387723,0.7293008556232222,0.7690763516207018
source_mean,5,mean_hidden_hd95_px,9.757492455681994,8.910523482984864,10.606696559562828
source_mean,5,area_curve_relative_rmse,0.590630136720065,0.514832400363695,0.6676565088390825
source_mean,7,mean_hidden_dice,0.7496724039446035,0.7294223751543313,0.7684766248225992
source_mean,7,mean_hidden_hd95_px,9.76453943881793,8.921863635264017,10.646133300639196
source_mean,7,area_curve_relative_rmse,0.5905146707623444,0.5132792191299029,0.6694580018180141
source_mean,10,mean_hidden_dice,0.7508801370740295,0.7309179432722187,0.7694475746335523
source_mean,10,mean_hidden_hd95_px,9.764312347225815,8.909826327796008,10.65263430378378
source_mean,10,area_curve_relative_rmse,0.5904207204360526,0.5128522191142248,0.6680914840383042
target_only,2,mean_hidden_dice,0.7465195659852473,0.7271505794715065,0.7656899853231919
target_only,2,mean_hidden_hd95_px,9.853183075092502,9.026258928709067,10.747806086426811
