k,strategy,metric,method_id,mean,rank
7,clustered,mean_hidden_dice,hb_tpm_latent_mse,0.7575589756469854,1
7,clustered,mean_hidden_dice,source_mean,0.7520968130749951,2
7,clustered,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7500773442510171,3
7,clustered,mean_hidden_dice,oa_hb_tpm_map,0.750074089179781,4
7,clustered,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7500485893780544,5
7,clustered,mean_hidden_dice,target_only,0.7492683697266508,6
7,clustered,mean_hidden_hd95_px,hb_tpm_latent_mse,9.275490707437948,1
7,clustered,mean_hidden_hd95_px,source_mean,9.754343624612812,2
7,clustered,mean_hidden_hd95_px,oa_hb_tpm_map,9.875489527161502,3
7,clustered,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.875641210229654,4
7,clustered,mean_hidden_hd95_px,target_only,9.876316417069946,5
7,clustered,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.877186167183071,6
7,clustered,area_curve_relative_rmse,hb_tpm_latent_mse,0.5539589413086441,1
7,clustered,area_curve_relative_rmse,source_mean,0.5905146420207118,2
7,clustered,area_curve_relative_rmse,oa_hb_tpm_map,0.604111991703357,3
7,clustered,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6041305718968998,4
7,clustered,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6042297100903637,5
7,clustered,area_curve_relative_rmse,target_only,0.6093447610235536,6
7,random,mean_hidden_dice,hb_tpm_latent_mse,0.7540931899906548,1
7,random,mean_hidden_dice,source_mean,0.748621637248129,2
7,random,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7464298044511182,3
7,random,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7464275887937623,4
7,random,mean_hidden_dice,oa_hb_tpm_map,0.7464223235743805,5
7,random,mean_hidden_dice,target_only,0.745413487581635,6
7,random,mean_hidden_hd95_px,hb_tpm_latent_mse,9.21534909885264,1
7,random,mean_hidden_hd95_px,source_mean,9.776673357112893,2
7,random,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.92387818721231,3
